SN	Method	Description
1	boolean add(Object o)	It is used to add the specified element to the end of a list.
2	void add(int index, Object o)	It is used to insert the specified element at the specified position in a list.
3	boolean addAll(Collection c)	It is used to add all of the elements in the specified collection to the end of this list
4	boolean addAll(int index, Collection c)	It is used to add all the elements of the specified collection at specified index position in the list.
5	void clear()	It is used to remove or delete all the elements from a list.
6	boolean contains(Object o)	It returns true if a list contains a specified element.
7	int size()	It is used to get the number of elements in a list.
8	Object[] toArray()	It returns an array containing all the elements in a list in proper sequence
9	Object clone()	This method is used to return a shallow copy of an ArrayList.
10	boolean remove(Object o)	This method is used to remove the first occurrence of the specified element in the linked list.
11	Element remove(int index)	This method is used to remove the element at the specified position in the linked list.
12	Element element()	This method is used to retrieve the first element of the linked list.
13	E get(int index)	It is used to get the element at the specified position in a list.
14	Element set(int index, E element)	It is used to replace the element at the specified position in a list with the specified element.
15	int indexOf(Object o)	It is used to get the index of the first occurrence of the specified element in the list. It returns -1 if the list does not contain any element.
16	int lastIndexOf(Object o)	It is used to get the index of the last occurrence of the specified element in a list. It returns -1 if the list does not contain any element.
17	Iterator iterator()	This method returns an iterator over the elements in a proper sequence in the linked list.
18	ListIterator listIterator(int index)	This method returns a list-iterator of the elements in a proper sequence, starting at the specified position in the list.
